#    distance           U_x           U_y           U_z
  6.16791e-18   4.65311e-18  -9.30644e-19             0
    0.0353535      0.026671   -0.00533432             0
    0.0707071     0.0496343   -0.00966055             0
     0.106061     0.0676542    -0.0126427             0
     0.141414     0.0840529    -0.0162189             0
     0.176768      0.100428    -0.0199646             0
     0.212121      0.117419    -0.0238864             0
     0.247475      0.135564    -0.0277488             0
     0.282828      0.154437    -0.0315655             0
     0.318182      0.174917    -0.0352516             0
     0.353535      0.196527     -0.038844             0
     0.388889      0.218984    -0.0423661             0
     0.424242      0.243452    -0.0457044             0
     0.459596      0.268786    -0.0489533             0
     0.494949      0.295274    -0.0520828             0
     0.530303      0.323476    -0.0550095             0
     0.565657      0.352512    -0.0578259             0
      0.60101      0.382918    -0.0604505             0
     0.636364      0.414631    -0.0628607             0
     0.671717      0.447116    -0.0651376             0
     0.707071      0.481099    -0.0671298             0
     0.742424      0.515998     -0.068912             0
     0.777778      0.551583    -0.0705368             0
     0.813131      0.588527    -0.0717546             0
     0.848485      0.625876    -0.0727802             0
     0.883838      0.663765    -0.0735494             0
     0.919192      0.701708    -0.0739226             0
     0.954545      0.740202    -0.0740753             0
     0.989899      0.780055    -0.0738419             0
      1.02525      0.806252    -0.0732581             0
      1.06061      0.826987    -0.0725343             0
      1.09596      0.847722    -0.0718104             0
      1.13131      0.856275    -0.0706914             0
      1.16667      0.863255    -0.0695213             0
      1.20202       0.86983    -0.0683545             0
      1.23737       0.86971     -0.067241             0
      1.27273      0.869591    -0.0661274             0
      1.30808      0.869656    -0.0650309             0
      1.34343      0.870347    -0.0639917             0
      1.37879      0.871038    -0.0629525             0
      1.41414      0.871694    -0.0619032             0
      1.44949      0.872297     -0.060839             0
      1.48485        0.8729    -0.0597747             0
       1.5202      0.873438    -0.0587229             0
      1.55556      0.873927    -0.0576804             0
      1.59091      0.874416     -0.056638             0
      1.62626      0.874898    -0.0555993             0
      1.66162      0.875379    -0.0545619             0
      1.69697      0.875859    -0.0535246             0
      1.73232      0.876304    -0.0524993             0
      1.76768      0.876744    -0.0514751             0
      1.80303      0.877183    -0.0504517             0
      1.83838      0.877592    -0.0494365             0
      1.87374      0.878001    -0.0484214             0
      1.90909      0.878402    -0.0474091             0
      1.94444       0.87878     -0.046405             0
       1.9798      0.879159     -0.045401             0
      2.01515      0.879525    -0.0444012             0
      2.05051      0.879875    -0.0434069             0
      2.08586      0.880225    -0.0424126             0
      2.12121       0.88056    -0.0414244             0
      2.15657      0.880883    -0.0404403             0
      2.19192      0.881207    -0.0394562             0
      2.22727      0.881511    -0.0384792             0
      2.26263       0.88181    -0.0375042             0
      2.29798      0.882109    -0.0365293             0
      2.33333      0.882387    -0.0355637             0
      2.36869      0.882664    -0.0345987             0
      2.40404      0.882938    -0.0336345             0
      2.43939      0.883195    -0.0326769             0
      2.47475      0.883452    -0.0317194             0
       2.5101      0.883702    -0.0307648             0
      2.54545      0.883935    -0.0298173             0
      2.58081      0.884168    -0.0288698             0
      2.61616      0.884381    -0.0279247             0
      2.65152      0.884572    -0.0269822             0
      2.68687      0.884763    -0.0260398             0
      2.72222      0.884919    -0.0250994             0
      2.75758      0.885056    -0.0241602             0
      2.79293      0.885192     -0.023221             0
      2.82828      0.885426    -0.0222916             0
      2.86364      0.885685    -0.0213646             0
      2.89899      0.885943    -0.0204376             0
      2.93434      0.886915    -0.0195344             0
       2.9697      0.887909     -0.018632             0
      3.00505      0.889042    -0.0177379             0
       3.0404      0.891016     -0.016894             0
      3.07576      0.892989    -0.0160501             0
      3.11111      0.894108    -0.0151921             0
      3.14646      0.893363    -0.0143034             0
      3.18182      0.892617    -0.0134146             0
      3.21717      0.885793    -0.0122851             0
      3.25253      0.872534    -0.0109007             0
      3.28788      0.859274   -0.00951628             0
      3.32323      0.821911   -0.00797098             0
      3.35859      0.771972   -0.00634175             0
      3.39394      0.722032   -0.00471251             0
      3.42929      0.504475    -0.0031346             0
      3.46465      0.252237    -0.0015673             0
          3.5             0             0             0
