#    distance           U_x           U_y           U_z
            0             0             0             0
    0.0353535    -0.0187462     -0.005664             0
    0.0707071    -0.0217653    -0.0103187             0
     0.106061    -0.0038148    -0.0136276             0
     0.141414     0.0132044    -0.0175223             0
     0.176768     0.0303906    -0.0215853             0
     0.212121     0.0483821    -0.0258251             0
     0.247475     0.0676918    -0.0300206             0
     0.282828     0.0878307    -0.0341795             0
     0.318182      0.109782    -0.0382243             0
     0.353535      0.133008    -0.0421886             0
     0.388889       0.15719    -0.0460923             0
     0.424242      0.183655    -0.0498387             0
     0.459596      0.211112    -0.0535073             0
     0.494949       0.23989    -0.0570723             0
     0.530303      0.270667    -0.0604582             0
     0.565657      0.302429    -0.0637447             0
      0.60101      0.335825    -0.0668576             0
     0.636364      0.370795    -0.0697686             0
     0.671717      0.406704    -0.0725531             0
     0.707071      0.444461    -0.0750628             0
     0.742424      0.483395    -0.0773647             0
     0.777778      0.523212    -0.0795108             0
     0.813131      0.564866    -0.0812392             0
     0.848485      0.607133    -0.0827633             0
     0.883838      0.650216    -0.0840147             0
     0.919192      0.693708    -0.0848409             0
     0.954545      0.738026    -0.0854329             0
     0.989899      0.784238    -0.0856162             0
      1.02525      0.815059    -0.0852052             0
      1.06061      0.839725    -0.0845563             0
      1.09596       0.86439    -0.0839075             0
      1.13131       0.87489    -0.0825635             0
      1.16667      0.883562    -0.0811298             0
      1.20202      0.891716    -0.0796932             0
      1.23737      0.891309    -0.0782091             0
      1.27273      0.890902    -0.0767251             0
      1.30808      0.890688    -0.0752745             0
      1.34343      0.891124    -0.0739371             0
      1.37879      0.891559    -0.0725997             0
      1.41414      0.892032    -0.0712605             0
      1.44949      0.892561    -0.0699188             0
      1.48485       0.89309    -0.0685771             0
       1.5202      0.893527    -0.0672577             0
      1.55556      0.893894    -0.0659549             0
      1.59091      0.894261    -0.0646521             0
      1.62626      0.894627    -0.0633687             0
      1.66162      0.894992    -0.0620919             0
      1.69697      0.895358    -0.0608151             0
      1.73232      0.895691    -0.0595651             0
      1.76768      0.896022    -0.0583176             0
      1.80303       0.89635    -0.0570723             0
      1.83838      0.896653      -0.05585             0
      1.87374      0.896956    -0.0546277             0
      1.90909      0.897253    -0.0534118             0
      1.94444       0.89753    -0.0522146             0
       1.9798      0.897807    -0.0510174             0
      2.01515      0.898074      -0.04983             0
      2.05051      0.898328    -0.0486557             0
      2.08586      0.898582    -0.0474813             0
      2.12121      0.898823    -0.0463199             0
      2.15657      0.899055    -0.0451672             0
      2.19192      0.899287    -0.0440144             0
      2.22727      0.899504    -0.0428772             0
      2.26263      0.899717    -0.0417446             0
      2.29798       0.89993     -0.040612             0
      2.33333      0.900126    -0.0394974             0
      2.36869      0.900322    -0.0383839             0
      2.40404      0.900515    -0.0372722             0
      2.43939      0.900696    -0.0361746             0
      2.47475      0.900877    -0.0350769             0
       2.5101      0.901054    -0.0339849             0
      2.54545       0.90122    -0.0329069             0
      2.58081      0.901386    -0.0318289             0
      2.61616      0.901539    -0.0307547             0
      2.65152      0.901677    -0.0296851             0
      2.68687      0.901816    -0.0286154             0
      2.72222      0.901922    -0.0275557             0
      2.75758       0.90201    -0.0265019             0
      2.79293      0.902097     -0.025448             0
      2.82828      0.902227    -0.0244036             0
      2.86364      0.902368    -0.0233614             0
      2.89899      0.902508    -0.0223193             0
      2.93434      0.903208    -0.0212909             0
       2.9697      0.903924    -0.0202629             0
      3.00505      0.904808    -0.0192492             0
       3.0404      0.906706    -0.0183205             0
      3.07576      0.908604    -0.0173917             0
      3.11111      0.910042    -0.0164477             0
      3.14646      0.910476    -0.0154703             0
      3.18182       0.91091     -0.014493             0
      3.21717      0.905968    -0.0133429             0
      3.25253      0.895335    -0.0120099             0
      3.28788      0.884701     -0.010677             0
      3.32323      0.848993   -0.00916026             0
      3.35859      0.800202   -0.00754759             0
      3.39394       0.75141   -0.00593492             0
      3.42929      0.525386   -0.00400093             0
      3.46465      0.262693   -0.00200047             0
          3.5             0             0             0
