#    distance           U_x           U_y           U_z
            0             0             0             0
    0.0353535      0.138608   -0.00257274             0
    0.0707071      0.226002   -0.00488644             0
     0.106061      0.245109   -0.00685474             0
     0.141414      0.260205   -0.00901296             0
     0.176768      0.274515    -0.0112098             0
     0.212121      0.288532    -0.0134242             0
     0.247475      0.302992    -0.0155878             0
     0.282828      0.317768    -0.0177159             0
     0.318182       0.33338    -0.0197531             0
     0.353535       0.34963    -0.0217193             0
     0.388889      0.366359    -0.0236322             0
     0.424242      0.384253    -0.0254023             0
     0.459596      0.402651    -0.0271033             0
     0.494949      0.421719    -0.0287121             0
     0.530303      0.441765    -0.0301676             0
     0.565657       0.46228    -0.0315412             0
      0.60101      0.483561    -0.0327744             0
     0.636364      0.505553    -0.0338556             0
     0.671717      0.527959    -0.0348436             0
     0.707071      0.551137    -0.0356366             0
     0.742424      0.574753    -0.0362912             0
     0.777778      0.598699    -0.0368421             0
     0.813131      0.623231    -0.0371379             0
     0.848485      0.647904    -0.0373208             0
     0.883838      0.672766    -0.0373531             0
     0.919192      0.697582    -0.0371667             0
     0.954545      0.723163    -0.0368357             0
     0.989899      0.750675    -0.0362344             0
      1.02525      0.770726    -0.0356105             0
      1.06061      0.787794    -0.0349778             0
      1.09596      0.804861     -0.034345             0
      1.13131      0.814017    -0.0337855             0
      1.16667      0.822152    -0.0332355             0
      1.20202      0.829878    -0.0326973             0
      1.23737      0.830867    -0.0323536             0
      1.27273      0.831855    -0.0320099             0
      1.30808      0.832733    -0.0316654             0
      1.34343      0.833243    -0.0313178             0
      1.37879      0.833752    -0.0309703             0
      1.41414      0.834213    -0.0306114             0
      1.44949      0.834599    -0.0302354             0
      1.48485      0.834986    -0.0298594             0
       1.5202      0.835367    -0.0294792             0
      1.55556      0.835744     -0.029096             0
      1.59091      0.836121    -0.0287128             0
      1.62626      0.836494    -0.0283176             0
      1.66162      0.836866    -0.0279182             0
      1.69697      0.837238    -0.0275188             0
      1.73232      0.837591     -0.027111             0
      1.76768      0.837943    -0.0267023             0
      1.80303      0.838294    -0.0262926             0
      1.83838       0.83863    -0.0258717             0
      1.87374      0.838966    -0.0254507             0
      1.90909      0.839298    -0.0250276             0
      1.94444      0.839618     -0.024598             0
       1.9798      0.839938    -0.0241684             0
      2.01515       0.84025    -0.0237347             0
      2.05051      0.840554    -0.0232954             0
      2.08586      0.840857    -0.0228562             0
      2.12121      0.841151    -0.0224124             0
      2.15657      0.841438    -0.0219656             0
      2.19192      0.841726    -0.0215188             0
      2.22727      0.842002    -0.0210661             0
      2.26263      0.842274    -0.0206116             0
      2.29798      0.842547    -0.0201571             0
      2.33333      0.842807    -0.0196967             0
      2.36869      0.843066     -0.019236             0
      2.40404      0.843323    -0.0187746             0
      2.43939      0.843564    -0.0183076             0
      2.47475      0.843806    -0.0178405             0
       2.5101      0.844037    -0.0173721             0
      2.54545      0.844242       -0.0169             0
      2.58081      0.844448    -0.0164279             0
      2.61616      0.844627    -0.0159519             0
      2.65152      0.844774    -0.0154713             0
      2.68687      0.844922    -0.0149907             0
      2.72222      0.845086    -0.0145098             0
      2.75758      0.845259    -0.0140288             0
      2.79293      0.845433    -0.0135479             0
      2.82828      0.845956    -0.0130643             0
      2.86364      0.846567      -0.01258             0
      2.89899      0.847178    -0.0120957             0
      2.93434      0.848693     -0.011653             0
       2.9697      0.850234    -0.0112114             0
      3.00505      0.851653    -0.0107645             0
       3.0404      0.852339    -0.0102857             0
      3.07576      0.853024   -0.00980677             0
      3.11111      0.851398   -0.00926417             0
      3.14646      0.844729   -0.00858257             0
      3.18182       0.83806   -0.00790098             0
      3.21717      0.824554   -0.00700455             0
      3.25253       0.80381   -0.00588067             0
      3.28788      0.783066   -0.00475679             0
      3.32323      0.745779   -0.00363274             0
      3.35859      0.699861   -0.00250862             0
      3.39394      0.653944    -0.0013845             0
      3.42929      0.456819   -0.00084268             0
      3.46465      0.228409   -0.00042134             0
          3.5             0             0             0
